,rowid,kepler_id,koi_name,plnt_disposition,plnt_disp_confidence,flag_nTransitLk,flag_scndEvent,flag_centroidOffset,flag_ephMatch,orbital_period,transit_epoch,impact_parameter,transit_duration,transit_depth,planetary_radius,equ_temp,insolation_flux,transit_sigToNoise,stellar_eff_temp,stellar_surf_gravity,stellar_radius,right_acension,declination,kepler_magnitude
1264,1325,9902856,K01556.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,0.528209327653692,0.39541432887157024,1.1397999866821837,2.072662950821787,0.8216204919793524,0.04087762179202401,0.19354482333489462,0.03928870232736475,0.9122258595352294,0.04805803106406312,0.23108202933523805,0.570302369099832,0.3503080948502211,0.11750407469650898,0.9045337664198623,0.8091930541554831,0.8904073798198558
1265,1326,7747425,K01952.04,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.06178939227594128,0.19687140174880038,0.3325029911314211,0.29842319069550977,0.30940841505956246,0.08295081556647126,0.7125325660448024,0.04796617508056824,0.32183684301638493,0.0956691023966709,0.018084411126224286,0.09383670025507766,0.4652743201975518,0.09525453492592736,0.20712266591464149
1266,1327,9892816,K01955.01,CONFIRMED,1.0779064468797157,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.25320171011198656,0.43278452062761713,0.3844720441865566,0.16466751563008702,0.3106923915377778,0.08154097577949124,0.28006069966908476,0.047147638835894234,0.29509552894606006,0.7681910349159357,0.1397807435511363,0.05366444626896397,0.1232014000108474,0.807719519846049,0.8565775204003295
1267,1328,9892816,K01955.02,CONFIRMED,0.24983011303405858,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.02700198727722966,0.3668253766353755,0.44894821642738203,0.6635831850054368,0.3104572310106321,0.08048359593925622,0.5719201286166319,0.0478221766219065,0.29959185609062794,0.7681910349159357,0.1397807435511363,0.05366444626896397,0.1232014000108474,0.807719519846049,0.8565775204003295
1268,1329,9836149,K01958.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.22267821842844895,0.4013037366837084,0.3767349035176574,0.2684147952634543,0.3042019609885575,0.07945825791236165,0.5234738266455816,0.04774985187201557,0.3221918162120087,0.34577484442386813,0.3880072362657101,0.12155244137728015,0.39555293606329994,0.7969083290435571,0.6453320274020319
1269,1330,11512246,K00168.02,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.2519999023734988,0.17448293048724348,0.6007238676532545,0.11196019880938624,0.31090521181484454,0.08250223017970489,0.29069525376029093,0.04718084193302092,0.3011300732716643,0.08826587544522037,0.5379779247522378,0.030464191059929306,0.4451466150793189,1.5715458705164402,0.6436911694941007
1270,1331,4813563,K01959.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.00693829929712875,0.11022832451324499,0.21683399636041076,0.27139439938369153,0.30320840776136704,0.08128464127276759,0.8472369178667473,0.04803849983045918,0.30775623958997494,1.071158743502977,0.5199542312199217,0.14521981581871146,1.7724593133085733,1.0595156843949642,0.04673150509725408
1271,1332,2985767,K02032.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.2657837176380311,0.3064417449801878,0.09652020073000035,0.633178565621222,0.3113426103953355,0.08279060649976899,0.2493386545167114,0.04703175351651088,0.3178138134659821,0.1643769007591064,0.5238407467214289,0.0259487051467615,0.3262904166557794,1.5742811590589,1.50474695992926
1272,1333,2304320,K02033.01,CONFIRMED,1.0779064468797157,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.23738970832496892,0.41049078440934345,0.08917117532357649,0.4390922248955551,0.3089851261107002,0.08442473898013218,0.6759024352862034,0.047936937415718715,0.31000440316225886,0.7958905352844224,0.5953525140508997,0.14708829274829816,0.07245502415913446,1.7002783325786084,0.4117840449673841
1273,1334,3657758,K02034.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.38658069876386636,0.4133051252746595,0.27189538922504536,0.5697510353595758,0.297167133818995,0.07900967252559529,0.059098297996245434,0.04609455023130387,0.30740126639435117,0.029706213791302997,0.5317352129122618,0.13167335807920802,0.5062256519294956,1.3945926688304198,0.8940652209007182
